I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5224,,1990,3,4,19,46, 19.6,10, 6.1,, 6.1, 5.8,,,,,PAKISTAN,,"PAKISTAN:  KALAT, QUETTA, MASTUNG",  28.925,   66.331,60,      11,1,,,        40,1,       1.000,2,,,,3,      11,1,,,40,1,       1.000,2,,,,3
5247,,1990,6,17,4,51, 45.5,15, 6.3,, 6.3, 5.9,,,,,PAKISTAN,,PAKISTAN:  BALUCHISTAN,  27.398,   65.719,60,,,,,         6,1,,1,,,,,,,,,6,1,,1,,,,
5251,,1990,7,6,0,16, 20.4,14, 4.8,, 4.8, 5.8,,,,,INDONESIA,,"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",-  6.904,  108.120,60,,,,,       103,3,,3,10300,4,,,,,,,103,3,,3,10300,4,,
5265,,1990,11,15,2,34, 32.4,48, 6.8,, 6.8, 6.0,,,,,INDONESIA,,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",   3.908,   97.457,60,       1,1,,,        32,1,       2.100,2,,,,,       1,1,,,32,1,       2.100,2,,,,
5272,,1991,1,5,14,57, 11.5,20, 7.1,, 7.1, 6.2,,,,,MYANMAR (BURMA),,"MYANMAR (BURMA):  THABEIKKYIN, MANDALAY",  23.613,   95.901,60,,,,,,,,1,,,32,1,,,,,,,,1,,,32,1
5296,,1991,7,4,11,43, 10.4,29, 6.5,, 6.5, 6.2,,,,,INDONESIA,,"INDONESIA:  TIMOR:  KALABAHI, DILI",-  8.099,  124.681,60,      28,1,,,       181,3,       7.700,3,1150,4,,,      28,1,,,181,3,       7.700,3,1150,4,,
5307,,1991,10,19,21,23, 14.3,10, 7.0,, 7.0, 6.5,,,,8,INDIA,,"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",  30.780,   78.774,60,    2000,4,,,      1800,4,      60.000,4,7500,4,7500,4,    2000,4,,,1800,4,      60.000,4,7500,4,,
5310,,1991,11,8,15,13, 44.1,22, 5.0,, 5.0, 5.6,,,,,INDIA,,"INDIA:  JODHPUR, JAISALMER",  26.323,   70.607,60,,,,,,,,1,,,,,,,,,,,,1,,,,
5312,,1991,11,22,0,40, 23.9,10, 4.7,,, 4.7,,,,,YEMEN,,YEMEN:  WESTERN  ARABIAN PENINSULA,  13.887,   44.068,60,      11,1,,,        40,1,,2,17,1,87,2,      11,1,,,40,1,,2,17,1,87,2
5315,,1992,2,4,1,58, 39.7,58, 4.4,, 4.4, 5.0,,,,,INDONESIA,,"INDONESIA:  JAWA, BREBES",-  7.138,  109.067,60,,,,,         1,1,,3,800,3,700,3,,,,,1,1,,3,800,3,700,3
5325,,1992,5,20,12,20, 32.8,16, 6.0,, 6.0, 6.0,,,,,PAKISTAN,,"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL",  33.377,   71.317,60,      36,1,,,       100,2,,2,400,3,,,       6,1,,,100,2,,2,400,3,,
5334,,1992,8,28,0,50, 50.4,9, 5.5,, 5.5, 5.5,,,,,PAKISTAN,,PAKISTAN:  KALAT,  29.087,   66.740,60,       4,1,,,       200,3,,2,,3,,,       4,1,,,200,3,,2,,3,,
5343,Tsu,1992,12,12,5,29, 26.3,28, 7.8, 7.8, 7.5, 6.5,,,,,INDONESIA,,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-  8.480,  121.896,60,    1000,4,,,       500,3,     100.000,4,31785,4,,,    2500,4,,,2103,4,     100.000,4,31785,4,,
5364,,1993,9,29,22,25, 48.6,7, 6.2, 6.2, 6.2, 6.3,,,,8,INDIA,,"INDIA:  LATUR-OSMANABAD, KILLARI",  18.066,   76.451,60,   11000,4,,,     30000,4,     300.000,4,,4,,4,   11000,4,,,30000,4,     300.000,4,,4,,4
5367,,1993,10,20,16,15, 59.6,37, 5.1,,, 5.1,,,,,NEPAL,,NEPAL: NW; INDIA:  UTTAR PRADESH,  28.723,   82.280,60,,,,,,,,1,,,,,,,,,,,,,,,,
5368,,1993,11,12,13,27, 28.1,10, 4.6,,, 4.6,,,,,INDIA,,INDIA:  LATUR,  18.120,   76.533,60,,,,,        25,1,,1,,,,,,,,,25,1,,1,,,100,2
5379,,1994,2,15,17,7, 43.8,23, 6.9, 6.9, 7.0, 5.9,,,,,INDONESIA,,"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",-  4.967,  104.302,60,     207,3,,,      2000,4,     170.476,4,6000,4,,,     207,3,,,2000,4,     170.476,4,6000,4,,
5385,Tsu,1994,6,2,18,17, 34.0,18, 7.8, 7.8, 7.2, 5.7,,,,,INDONESIA,,INDONESIA:  JAVA,- 10.477,  112.835,60,,1,,,,,,1,,,,,     238,3,,,423,3,       2.200,2,1500,4,,
6832,Tsu,1994,6,3,21,6, 59.8,26, 6.6, 6.6, 6.4, 6.1,,,,,INDONESIA,,INDONESIA:  JAVA,- 10.362,  112.892,60,,,,,,,,,,,,,,,,,,,,,,,,
10108,Tsu,1994,6,4,0,57, 50.6,11, 6.5, 6.5, 6.3, 6.0,,,,,INDONESIA,,INDONESIA:  JAVA,- 10.777,  113.366,60,,,,,,,,,,,,,,,,,,,,,,,,
6833,Tsu,1994,6,5,1,45,  2.7,17, 6.1, 6.1, 6.3, 5.7,,,,,INDONESIA,,INDONESIA:  JAVA,- 10.341,  113.369,60,,,,,,,,,,,,,,,,,,,,,,,,
5410,Tsu,1995,5,14,11,33, 21.1,13, 6.9, 6.9, 6.9, 6.2,6.9,,,7,INDONESIA,,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-  8.452,  125.049,60,,,,,,,,,,,,,      11,1,,,19,1,,1,,2,,
5422,,1995,10,6,18,9, 45.9,33, 6.8, 6.8, 6.9, 5.8,,,,,INDONESIA,,"INDONESIA:  SUMATERA, JAMBI PROVINCE",-  2.045,  101.436,60,      84,2,,,      1868,4,,4,17600,4,,,      84,2,,,1868,4,,4,17600,4,,
5449,,1997,2,27,21,8,  2.3,33, 7.1, 7.1, 7.3, 6.3,,, 7.3,,PAKISTAN,,"PAKISTAN:  HARNAI-SIBI, QUETTA",  29.976,   68.208,60,      60,2,,,,3,,2,500,3,500,3,      60,2,,,,3,,2,500,3,,
5453,,1997,3,19,19,57, 11.9,50, 4.9,,, 4.9,,,,,PAKISTAN,,"PAKISTAN:  BAJAUR, CHITRAL",  34.872,   71.620,60,      15,1,,,,,,1,,,,,,,,,,,,,,,,
5465,,1997,5,21,22,51, 28.7,36, 5.8, 5.8, 5.6, 6.0,,,,8,INDIA,,INDIA:  SOUTHERN:  JABALPUR,  23.083,   80.041,60,      56,2,,,      1000,4,     143.000,4,8546,4,8546,4,      56,2,,,1000,4,     143.000,4,8546,4,52690,4
5471,,1997,8,20,7,15, 15.9,33, 6.0, 6.0, 6.0, 5.9,,,,,INDONESIA,,"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",   4.358,   96.494,60,,,,,,,,2,,3,,,,,,,,,,2,,3,,
5478,,1997,11,21,11,23,  6.3,54, 6.1, 6.1,, 5.9,,,,,INDIA,,"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH",  22.212,   92.702,60,      23,1,,,       200,3,,1,1,1,,1,      23,1,,,200,3,,1,1,1,,1
5504,,1998,9,28,13,34, 30.4,152, 6.6, 6.6,, 6.4,,,,,INDONESIA,,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-  8.194,  112.413,60,       1,1,,,,,,1,38,1,62,2,       1,1,,,,,,1,38,1,62,2
5519,,1999,3,28,19,5, 11.0,15, 6.6, 6.6, 6.6, 6.4,,,,8,INDIA,,"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",  30.512,   79.403,60,     100,2,,,       394,3,      70.000,4,21100,4,21100,4,     100,2,,,394,3,,4,21100,4,,
5526,,1999,7,22,10,42, 11.7,10, 4.2,, 4.2, 5.2,,,,,BANGLADESH,,"BANGLADESH:  MAHESHKHALI ISLAND, COX'S BAZAAR",  21.544,   91.895,60,       6,1,,,       200,3,,3,700,3,,,       6,1,,,200,3,,3,700,3,,
5549,,1999,12,21,14,14, 57.6,56, 6.5, 6.5, 6.3, 6.2,,,,,INDONESIA,,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-  6.845,  105.555,60,       5,1,,,       220,3,       3.900,2,,,2800,4,       5,1,,,220,3,       3.900,2,,,2800,4
5551,,2000,1,3,22,34, 12.6,33, 4.6,,, 4.6,,,,,INDIA,,INDIA-BANGLADESH BORDER:  MAHESHKHALI,  22.132,   92.771,60,,,,,,,,1,,,,,,,,,,,,1,,,100,2
5560,,2000,6,4,16,28, 26.1,33, 7.9, 7.9, 8.0, 6.8,,,,6,INDONESIA,,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-  4.721,  102.087,60,     103,3,,,      2174,4,       6.000,3,,,,,     103,3,,,2174,4,       6.000,3,,,,
5563,,2000,6,7,23,45, 26.6,33, 6.7, 6.7, 6.7, 6.1,,,,,INDONESIA,,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-  4.612,  101.905,60,       1,1,,,,,,2,,,600,3,       1,1,,,,,,2,,,600,3
5565,Tsu,2000,6,18,14,44, 13.3,10, 7.9, 7.9, 7.8, 6.8,,,,,AUSTRALIA,,"AUSTRALIA:  S, COCOS ISLANDS",- 13.802,   97.453,60,,,,,,,,,,,,,,,,,,,,,,,,
5570,,2000,7,12,1,10, 42.6,33, 5.4, 5.4, 5.0, 5.2,,,,,INDONESIA,,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-  6.675,  106.845,60,,,,,         6,1,,2,,,225,3,,,,,6,1,,2,,,225,3
5589,,2001,1,26,3,16, 40.5,16, 7.7, 7.7, 8.0, 6.9,,,,10,INDIA,,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",  23.419,   70.232,60,   20005,4,,,    166836,4,    2623.000,4,339000,4,339000,4,   20005,4,,,166836,4,    2623.000,4,339000,4,,
5613,,2001,12,19,7,54,  7.9,10, 4.5,,, 4.5,,,,6,BANGLADESH,,BANGLADESH:  DHAKA,  23.632,   90.376,60,,,,,       100,2,,1,,,,2,,,,,100,2,,1,,,,2
5638,,2002,6,20,5,40, 43.3,40, 4.5,,, 4.5,,,,,BANGLADESH,,"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",  25.842,   88.932,60,,,,,        55,2,,1,,,,2,,,,,55,2,,1,,,,2
5650,Tsu,2002,9,13,22,28, 29.4,21, 6.5, 6.5, 6.7, 6.2,,,,,INDIA,,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",  13.036,   93.068,60,       2,1,,,,,,1,40,1,,1,       2,1,,,,,,2,40,1,,1
5661,,2002,11,1,22,9, 29.2,33, 5.4, 5.4, 5.3, 5.3,,,,,PAKISTAN,,PAKISTAN:  GILGIT,  35.517,   74.654,60,      11,1,,,        40,1,,3,,3,,3,      11,1,,,40,1,,3,,,1000,4
5662,,2002,11,2,1,26, 10.7,30, 7.3, 7.3, 7.6, 6.2,,,,,INDONESIA,,INDONESIA:  SUMATERA:  SIMEULUE,   2.824,   96.085,60,       3,1,,,        65,2,,3,,,994,3,       3,1,,,65,2,,3,,,994,3
5664,,2002,11,20,21,32, 30.8,33, 6.3, 6.3, 6.5, 5.7,,,,,PAKISTAN,,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",  35.414,   74.515,60,      19,1,,,        40,1,,3,100,2,100,2,      19,1,,,40,1,,3,100,2,1256,4
5674,,2003,1,23,0,8, 22.8,33, 5.5, 5.5, 5.1, 5.3,,,,6,INDONESIA,,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-  8.807,  118.524,60,,,,,         2,1,,2,,,500,3,,,,,2,1,,2,,,500,3
5684,,2003,3,21,11,38, 20.0,33, 4.6,,, 4.6,,,,,INDONESIA,,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-  6.983,  108.468,60,,,,,,,,2,,,,,,,,,,,,2,,,800,3
5702,,2003,3,25,2,53, 25.0,33, 6.5, 6.5, 6.1, 6.2,,,,,INDONESIA,,INDONESIA:  FLORES:  REO,-  8.294,  120.743,60,       4,1,,,        20,1,,1,,,,2,       4,1,,,20,1,,1,,,,2
5689,,2003,3,25,18,51, 26.3,47, 5.5, 5.5, 4.8, 4.8,,,,,BHUTAN,,BHUTAN:  PHUENTSHOLING,  27.264,   89.331,60,,,,,,,,1,,,,,,,,,,,,1,,,,1
5706,,2003,7,15,20,27, 50.5,10, 7.6, 7.6, 7.6, 6.1,,,,,INDIAN OCEAN,,INDIAN OCEAN:  FELT IN MALDIVES,-  2.598,   68.382,60,,,,,,,,,,,,,,,,,,,,,,,,
5711,,2003,7,26,23,18, 17.9,10, 5.7, 5.7, 5.5, 5.5,,,,,BANGLADESH,,BANGLADESH:  RANGAMATI,  22.854,   92.306,60,       2,1,,,        25,1,,2,500,3,,,       2,1,,,25,1,,2,500,3,,
5722,,2003,9,21,18,16, 13.4,10, 6.6, 6.6, 6.9, 6.1,,,,,MYANMAR (BURMA),,MYANMAR (BURMA):  TAUNGDWINGYI; THAILAND:  BANGKOK,  19.917,   95.672,60,,,,,,,,1,,,,2,,,,,,,,1,,,,2
5745,,2003,12,5,23,41, 27.4,33, 4.9,, 4.9, 5.4,,,,,INDONESIA,,"INDONESIA:  FLORES, RUTENG",-  8.137,  120.524,60,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5752,,2004,1,1,20,59, 31.9,45, 5.8, 5.8, 5.4, 5.5,,,,6,INDONESIA,,"INDONESIA:  BALI, LOMBOK",-  8.310,  115.788,60,       1,1,,,        29,1,      12.000,3,6000,4,,,       1,1,,,29,1,      12.000,3,6000,4,,
5761,,2004,2,14,10,30, 22.1,11, 5.4, 5.4, 5.2, 5.4,,,,,PAKISTAN,,"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",  34.774,   73.216,60,      24,1,,,        40,1,,3,1420,4,1420,4,      24,1,,,40,1,,3,1420,4,5379,4
5762,,2004,2,16,14,44, 39.9,56, 5.1, 5.1, 4.5, 5.2,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PADANGPANJANG,-   .466,  100.655,60,       5,1,,,         7,1,,1,,,,,       5,1,,,7,1,,,,,100,2
5763,,2004,2,22,6,46, 27.0,42, 6.0, 6.0, 5.7, 6.3,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-  1.559,  100.488,60,,,,,         1,1,,1,,,,,,,,,1,1,,1,,,,3
5772,,2004,4,9,1,55, 50.7,66, 5.4, 5.4,, 5.5,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PADANG,-  1.549,  100.540,60,,,,,,,,1,,,,,,,,,,,,1,,,,1
5774,,2004,4,16,18,32, 24.0,96, 5.5, 5.5,, 5.5,,,,,INDONESIA,,INDONESIA:  BALI,-  8.669,  114.650,60,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5775,,2004,4,23,1,50, 30.2,66, 6.7, 6.7,, 6.5,,,,,INDONESIA,,INDONESIA:  TIMOR: KUPANG,-  9.362,  122.839,60,,,,,,,,1,,,,,,,,,,,,1,,,,
5780,,2004,5,8,20,11, 44.2,10, 4.5,,, 4.5,,,,,PAKISTAN,,PAKISTAN:  QUETTA,  30.126,   67.121,60,       1,1,,,        30,1,,1,,,,,       1,1,,,30,1,,1,,,,1
5810,Tsu,2004,11,11,21,26, 41.1,10, 7.5, 7.5, 7.3, 6.5,,,,,INDONESIA,,INDONESIA:  KEPULAUAN ALOR,-  8.152,  124.868,60,      34,1,,,       400,3,,3,781,3,16712,4,      34,1,,,400,3,,3,781,3,16712,4
5821,,2004,12,9,8,49,   .2,35, 5.4, 5.4, 4.7, 5.5,,,,,INDIA,,"INDIA:  HAILAKANDI, CACHAR",  24.757,   92.539,60,,,,,,2,,1,,,,,,,,,,2,,1,,,,
5823,Tsu,2004,12,26,0,58, 53.4,30, 9.1, 9.1, 8.8, 7.0,,,,,INDONESIA,,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,   3.316,   95.854,60,    1001,4,,,,3,   10000.000,4,,3,,3,  227899,4,,,,3,   10000.000,4,,4,,4
5844,,2005,2,2,5,55, 18.2,15, 4.8,,, 4.8,,,,,INDONESIA,,INDONESIA:  JAVA:  GARUT,-  7.037,  107.819,60,       1,1,,,,2,,2,,2,,2,       1,1,,,,2,,2,,2,,
5847,,2005,2,15,11,15, 11.7,35, 5.1,,, 5.1,,,,,INDIA,,INDIA:  KHASPUR,  24.550,   92.524,60,,,,,,,,1,,,,,,,,,,,,1,,,,
5849,,2005,3,2,11,12, 14.9,52, 4.9,,, 4.9,,,,,PAKISTAN,,PAKISTAN:  QUETTA,  30.378,   68.038,60,,,,,         1,1,,1,,,,,,,,,1,1,,1,,,,
